,GPP_f,Reco,SWIN_1_1_1,VPD.x,air_p_mean,TS_2_1_1,WTD,LE_f,FCH4,TDP_interp,SO4_interp
188,-0.719286681,6.005593319,-1.22256,1171.9,94786.2,21.295,187.0,5.16799,999.0,92.88770833,1400.9375
189,0.097631392,5.872321392,-1.11156,1163.63,94835.3,20.839,204.0,3.12059,999.0,92.90176339,1400.515625
190,-0.12001713,5.818642005,-2.10476,1139.15,94871.6,20.484,221.0,14.215,999.0,92.91581845,1400.09375
191,-0.416191029,5.688662123,-1.66136,0.0,94912.4,20.114,257.0,11.02940653,999.0,92.92987351,1399.671875
192,-0.414587567,5.690265586,-0.797501,0.0,94901.8,19.93,293.0,36.4821,999.0,92.94392857,1399.25
193,-3.62703185,5.70392815,-0.185323,0.0,94887.6,19.826,295.0,-10.2342,999.0,92.95798363,1398.828125
194,-1.99433893,5.66557107,-0.668935,0.0,94873.2,19.722,297.0,8.00624,999.0,92.97203869,1398.40625
195,-6.876021652,5.675078348,0.41334,0.0,94879.0,19.619,295.0,-14.2951,999.0,92.98609375,1397.984375
196,-6.026015064,5.681384936,0.511259,0.0,94893.7,19.566,293.0,-31.6583,999.0,93.00014881,1397.5625
197,-10.13111069,5.679389311,0.639149,0.0,94900.9,19.503,291.5,20.8925,999.0,93.01420387,1397.140625
198,-11.83866365,5.641136351,-0.0304431,0.0,94923.0,19.413,290.0,40.6714,999.0,93.02825893,1396.71875
199,-0.277280273,5.588886672,-1.83211,0.0,94945.6,19.225,288.5,18.078,999.0,93.04231399,1396.296875
200,-0.172849632,5.505279303,-2.77524,0.0,94953.3,18.961,287.0,12.243971,999.0,93.05636905,1395.875
201,-0.31969582,5.39526418,-2.33659,0.0,94964.2,18.725,288.0,-15.4798,999.0,93.07042411,1395.453125
202,-0.227841148,5.444644554,-0.285807,0.0,94981.5,18.583,289.0,11.67350359,999.0,93.08447917,1395.03125
203,-0.179637472,5.453857189,-1.92284,0.0,94991.9,18.527,290.5,-7.64755,999.0,93.09853423,1394.609375
204,-0.977028259,5.473281741,0.259034,973.757,95013.2,18.459,292.0,12.43042658,999.0,93.11258929,1394.1875
205,-0.301143544,5.581085206,0.256375,986.277,95024.9,18.407,292.5,2.6609,999.0,93.12664435,1393.765625
206,-0.276426068,5.604014781,6.17504,996.152,95054.8,18.386,293.0,12.57207744,999.0,93.1406994,1393.34375
207,-0.18836165,5.59910835,23.4026,101.983,95083.0,18.415,290.0,24.5953,-0.00195816,93.15475446,1392.921875
208,-1.477347862,5.591162138,75.5415,128.999,95114.8,18.454,287.0,36.7046,0.00332597,93.16880952,1392.5
209,2.073919928,5.609379928,62.4407,168.714,95145.2,18.47,285.5,47.5124,-0.00164026,93.18286458,1392.078125
210,3.759800522,5.590230522,107.331,181.564,95152.4,18.451,284.0,51.1429,-0.00287872,93.19691964,1391.65625
211,6.668074706,5.629914706,215.96,205.176,95150.2,18.527,260.5,74.7512,0.00143191,93.2109747,1391.234375
212,6.873593726,5.648743726,227.469,253.842,95180.7,18.825,237.0,117.743,0.00240092,93.22502976,1390.8125
213,7.471703656,5.634893656,219.051,285.914,95199.7,19.103,215.0,122.733,0.000183388,93.23908482,1390.390625
214,7.300087129,5.642327129,197.213,294.755,95206.1,19.374,193.0,96.482,-0.00209202,93.25313988,1389.96875
215,7.691035322,5.649765322,199.067,297.566,95206.0,19.58,175.0,88.4754,-0.00247482,93.26719494,1389.546875
216,11.25063738,5.724997378,285.453,370.528,95195.2,19.767,157.0,128.391,-0.00850047,93.28125,1389.125
217,11.43394329,5.821503293,327.672,476.853,95175.3,20.145,147.5,156.384,0.00281079,93.29530506,1388.703125
218,17.67710455,5.948504546,585.822,594.265,95158.3,20.597,138.0,211.543,-0.00424466,93.30936012,1388.28125
219,19.541879,6.110279004,698.788,731.741,95148.3,21.411,134.5,218.788,-0.0166765,93.32341518,1387.859375
220,20.85448588,6.276085879,698.724,843.28,95150.8,22.293,131.0,245.656,-0.00785596,93.33747024,1387.4375
221,20.30943246,6.374332456,675.798,925.707,95139.4,22.962,130.5,219.929,-0.0145003,93.3515253,1387.015625
222,19.90549328,6.518393276,643.051,1529.06,95146.5,23.567,130.0,230.145,999.0,93.36558036,1386.59375
223,18.97762169,6.649521687,730.427,1772.33,95135.8,24.084,131.0,244.138,999.0,93.37963542,1386.171875
224,15.26336635,6.601166355,437.134,1202.0,95129.6,24.301,132.0,171.037,-0.00712958,93.39369048,1385.75
225,16.37290075,6.666540747,490.999,1269.07,95118.0,24.699,130.0,197.286,-0.00622078,93.40774554,1385.328125
226,15.34419671,6.703796708,446.577,1292.08,95107.3,24.651,128.0,167.637,0.000461298,93.4218006,1384.90625
227,19.2382328,6.765032799,564.742,1309.57,95095.3,24.748,129.5,238.637,-0.00206741,93.43585565,1384.484375
228,19.39268142,6.725281417,434.204,1219.48,95088.5,24.613,131.0,240.141,0.0143865,93.44991071,1384.0625
229,11.32493143,6.615051433,258.781,1092.68,95075.8,23.942,129.5,97.7424,0.00380186,93.46396577,1383.640625
230,12.95093144,6.673661435,249.317,1089.33,95064.1,23.447,128.0,116.587,0.00156252,93.47802083,1383.21875
231,11.62221439,6.692174392,219.002,1087.65,95047.3,23.028,131.0,98.3704,0.00282509,93.49207589,1382.796875
232,8.821541538,6.637101538,143.044,1031.31,95027.9,22.635,134.0,52.8991,0.00166801,93.50613095,1382.375
233,5.669166104,6.500407104,78.8488,854.664,95024.8,22.152,152.5,18.336,0.00344876,93.52018601,1381.953125
